Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
133,1,midLeft,lowA,4.012385041630098,1,1,0,0,0,0.8000000000010906,6.144078644206626e-05,19.20005079092428,0.0064020480264241,3.9112398761552916
134,1,midRight,lowB,4.073004327911717,1,0,1,0,0,0.160000000000218,0.8000122881572884,3.840010158184855,0.0012804096052848,4.025621735763205
135,1,midLeft,lowA,4.364666900426066,1,1,0,0,0,0.8320000000000437,0.1600024576314576,0.7680020316369709,0.0002560819210569,4.339319639410701
136,1,midRight,lowB,4.389336636087188,0,0,0,0,0,0.1664000000000086,0.0320004915262915,0.1536004063273941,5.121638421139339e-05,4.311685809294676
137,1,downRight,lowC,4.00385724102809,1,0,0,0,1,0.0332800000000017,0.0064000983052582,0.0307200812654788,0.8000102432768423,3.9105806005375054
138,1,downLeft,high,4.115600150852575,0,0,0,0,0,0.0066560000000003,0.0012800196610516,0.0061440162530957,0.1600020486553683,3.9834091949010118
139,1,downRight,lowC,4.317259875066195,1,0,0,0,1,0.0013312,0.0002560039322103,0.0012288032506191,0.8320004097310737,4.190809134324721
140,1,downRight,lowC,6.062294293343191,0,0,0,0,0,0.00026624,5.120078644206636e-05,0.0002457606501238,0.1664000819462147,5.930552727891757
141,1,midRight,lowB,4.06375176068189,0,0,0,0,0,5.32480000000027e-05,1.0240157288413268e-05,4.9152130024766026e-05,0.0332800163892429,4.010763333127066
142,1,downRight,lowC,4.142580972919603,0,0,0,0,0,1.0649600000000536e-05,2.0480314576826533e-06,9.830426004953202e-06,0.0066560032778485,4.081563598981646
143,1,downRight,lowC,3.8894047979655633,1,0,0,0,1,2.129920000000106e-06,4.096062915365305e-07,1.966085200990641e-06,0.8013312006555697,3.898787057320212
144,1,downLeft,high,4.102537652672209,1,0,0,100,0,4.259840000000212e-07,8.19212583073061e-08,80.00000039321705,0.1602662401311139,4.126101248226261
145,1,midLeft,lowA,3.958432151366867,0,0,0,0,0,8.519680000000423e-08,1.6384251661461217e-08,16.00000007864341,0.0320532480262227,3.936045929360058
146,1,downRight,lowC,4.184085327999701,1,0,0,0,1,1.703936000000084e-08,3.276850332292243e-09,3.2000000157286816,0.8064106496052446,4.3352529929486305
147,1,midRight,lowB,3.886599072719368,0,0,0,0,0,3.4078720000001675e-09,6.553700664584485e-10,0.6400000031457362,0.1612821299210488,4.084475832223886
148,1,downRight,lowC,4.301121623596728,1,0,0,0,1,6.815744000000333e-10,1.3107401329168968e-10,0.1280000006291471,0.8322564259842098,4.441530061229511
149,1,downRight,lowC,6.043073141081184,1,0,0,0,1,1.3631488000000666e-10,2.6214802658337927e-11,0.0256000001258294,0.966451285196842,5.964622558436295
150,1,midRight,lowB,4.06061111093985,0,0,0,0,0,2.726297600000132e-11,5.242960531667585e-12,0.0051200000251658,0.1932902570393683,4.137103782193732
151,1,downRight,lowC,4.55783376526791,1,0,0,0,1,5.452595200000262e-12,1.0485921063335164e-12,0.0010240000050331,0.8386580514078738,4.549727620251204
152,1,midLeft,lowA,3.890394240972045,1,1,0,0,0,0.8000000000010906,2.097184212667032e-13,0.0002048000010066,0.1677316102815746,3.9970543143272295
153,1,downRight,lowC,4.414862317325649,1,0,0,0,1,0.160000000000218,4.1943684253340637e-14,4.096000020132706e-05,0.833546322056315,4.751796781245077
154,1,downLeft,high,3.9458923472682974,1,0,0,100,0,0.0320000000000436,8.388736850668129e-15,80.00000819200005,0.166709264411263,3.995462413666837
