Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
853,8,downLeft,lowA,4.589506671647233,1,0,0,1,0,0.060441989791754656,0.6156460613546586,0.4887365003495167,0.1464260596219824
854,8,midRight,high,8.394797609463513,1,0,100,0,0,0.03721459441517375,0.9999,0.30091879335977567,0.0901556424502009
855,8,downLeft,lowA,5.709463547038642,1,0,0,1,0,0.022913309807593554,0.6156460613546586,0.5695703656014438,0.055509517135078554
856,8,midRight,high,8.257821146126464,0,0,0,0,0,0.014107899725616603,0.37905797865936997,0.3506888211289747,0.03417763335524557
857,8,downRight,lowB,3.543387606463343,1,0,0,0,1,0.008686341534215752,0.23338889047574693,0.2159217836675284,0.4053357975866806
858,8,downRight,lowB,6.4252867498450295,1,0,0,0,1,0.00534824677779909,0.14369932111743913,0.13294469014460097,0.6338607120268331
859,8,midLeft,lowC,3.3486544166188827,1,1,0,0,0,0.38758532424167036,0.08847676874216394,0.08185506037157625,0.39027287809458877
860,8,downRight,lowB,6.548603133068818,1,0,0,0,1,0.23863924223247587,0.05447582177967817,0.05039878539824854,0.6245863575335752
861,8,downRight,lowB,8.319689576011365,1,0,0,0,1,0.14693200276536061,0.03354117923564076,0.03103091681917231,0.7688549551322528
862,8,midRight,high,3.418461338832574,0,0,0,0,0,0.09046715550499657,0.020651560045617454,0.01910597231717918,0.47338986386657084
863,8,midLeft,lowC,4.013872205502453,1,1,0,0,0,0.43999368598255023,0.01271532313522714,0.011763692974719974,0.29146975214988735
864,8,midRight,high,3.218461586600547,1,0,100,0,0,0.2709074705431298,0.9999,0.007242995546426462,0.1794601509301897
865,8,downLeft,lowA,3.2064424002976506,0,0,0,0,0,0.16679979721115218,0.6156460613546586,0.004459567637330518,0.11049498458874273
866,8,downLeft,lowA,3.2222178303539017,1,0,0,1,0,0.10269990817861947,0.37905797865936997,0.38703815771237987,0.06803260532203537
867,8,downLeft,lowA,6.514996861050833,0,0,0,0,0,0.0632331172833805,0.23338889047574693,0.2383023476243523,0.04188819432964003
868,8,midLeft,lowC,3.7064980012562008,1,1,0,0,0,0.4232254807961114,0.14369932111743913,0.14672457418391954,0.025790880944395866
869,8,midLeft,lowC,6.769829777804325,0,0,0,0,0,0.260583158632921,0.08847676874216394,0.09033944014428391,0.015879642236507882
870,8,downLeft,lowA,3.9294058321385004,1,0,0,1,0,0.16044303957167116,0.05447582177967817,0.43991505066022074,0.00977721692031919
871,8,downRight,lowB,3.2276838334573363,1,0,0,0,1,0.09878600398446744,0.03354117923564076,0.27085905417501754,0.39031227496084214
872,8,downLeft,lowA,5.370444607994327,1,0,0,1,0,0.06082329659966296,0.020651560045617454,0.5510623547659157,0.24031824660267925
873,8,downLeft,lowA,7.715891309493985,1,0,0,1,0,0.03744936792698139,0.01271532313522714,0.7235856654843494,0.1479657785704541
874,8,midLeft,lowC,3.491808155671396,1,1,0,0,0,0.40735022953276223,0.007828921499204278,0.44551721672980227,0.09110365915809142
875,8,midLeft,lowC,6.600890491050143,0,0,0,0,0,0.25080864526828806,0.004820326718311754,0.2743083505804506,0.056093218257502006
876,8,midLeft,lowC,5.22086390667883,0,0,0,0,0,0.15442479709282855,0.0029679119497662346,0.1688937450060479,0.03453702259119745
877,8,midRight,high,3.3036321547871768,1,0,100,0,0,0.09508052615830806,0.9999,0.10398916781719314,0.02126470840002758
878,8,midRight,high,11.60403877766888,1,0,100,0,0,0.05854180562145309,0.9999,0.06402692428263185,0.013092843256657969
879,8,downLeft,lowA,3.730020998177734,0,0,0,0,0,0.03604463651908951,0.6156460613546586,0.03942186594184943,0.008061363519247305
880,8,midLeft,lowC,3.482218501381929,1,1,0,0,0,0.40648532568384754,0.37905797865936997,0.024272343732724234,0.004963443044077141
881,8,downLeft,lowA,3.4460273694123873,1,0,0,1,0,0.25027611736746314,0.23338889047574693,0.39923703516775627,0.003056029763820651
882,8,downRight,lowB,3.1252257265385714,0,0,0,0,0,0.15409691559997496,0.14369932111743913,0.24581328957689816,0.0018816208495637476
883,8,downLeft,lowA,5.177927708322425,1,0,0,1,0,0.0948786470207279,0.08847676874216394,0.5356414863506259,0.0011585283178285107
884,8,downRight,lowB,3.0735266585446457,1,0,0,0,1,0.05841750709567962,0.05447582177967817,0.3297985512250405,0.38500568260944135
885,8,midLeft,lowC,3.707150751041022,0,0,0,0,0,0.03596810496810979,0.03354117923564076,0.20305948505067387,0.23705093719138348
886,8,downRight,lowB,5.267216677288315,1,0,0,0,1,0.022145836741681885,0.020651560045617454,0.1250252747196245,0.5302464391115583
887,8,midLeft,lowC,3.41965025898266,0,0,0,0,0,0.013635360701489888,0.01271532313522714,0.07697901585250624,0.3264767794643101
888,8,downRight,lowB,6.014718735545256,1,0,0,0,1,0.008395395650587403,0.007828921499204278,0.04739656757331063,0.5853066127075681
889,8,midLeft,lowC,3.333046639750703,1,1,0,0,0,0.38946147705884543,0.004820326718311754,0.029182428391077726,0.3603777485731082
890,8,midRight,high,3.3532196739145057,1,0,100,0,0,0.23979440384103,0.9999,0.01796784388411978,0.2218873302419177
891,8,downLeft,lowA,3.274249721600444,1,0,0,1,0,0.14764324458407696,0.6156460613546586,0.3953553064942846,0.13661772270020708
892,8,downLeft,lowA,6.5216816314267305,1,0,0,1,0,0.09090507252106161,0.37905797865936997,0.6277156474889605,0.08411657454908034
893,8,downRight,lowB,3.9892440537055305,1,0,0,0,1,0.05597094694944613,0.23338889047574693,0.3864893149587637,0.4360835848196102
894,8,midRight,high,5.079928212526901,1,0,100,0,0,0.03446173921363842,0.9999,0.23796442095211823,0.26849999141475467
895,8,midRight,high,11.55064421193196,1,0,100,0,0,0.021218355849892873,0.9999,0.14651651015272887,0.1653174939376471
896,8,midLeft,lowC,3.315381532891865,0,0,0,0,0,0.013064303637771904,0.6156460613546586,0.09021133353231062,0.1017872427400091
897,8,midLeft,lowC,3.14966943405828,1,1,0,0,0,0.39233615934021104,0.37905797865936997,0.05554380655937441,0.0626711822072579
898,8,downRight,lowB,3.6917254974349722,1,0,0,0,1,0.24156436766158085,0.23338889047574693,0.03419874561548546,0.42287949308098804
899,8,midRight,high,5.201097963448375,1,0,100,0,0,0.1487330248169626,0.9999,0.021056428684311953,0.26037013135610054
900,9,downLeft,high,3.4141100177960926,1,0,0,100,0,0.0915760585277805,0.6156460613546586,0.9999,0.16031187705148353
901,9,midRight,lowC,8.432187149510481,1,0,1,0,0,0.056384078154827245,0.7633503465414996,0.6156460613546586,0.09870524621974008
902,9,midRight,lowC,9.616612216956911,0,0,0,0,0,0.03471610724985763,0.4700006343454225,0.37905797865936997,0.06077357342756754
903,9,midRight,lowC,7.144377678587359,1,0,1,0,0,0.021374972191159875,0.6736753455488467,0.23338889047574693,0.03741875299042914
904,9,midLeft,lowB,3.3442968351640014,0,0,0,0,0,0.013160733514404374,0.4147870518240685,0.14369932111743913,0.023039011800540608
905,9,midRight,lowC,6.7027128144753565,1,0,1,0,0,0.008103164069088216,0.6396799213938792,0.08847676874216394,0.01418529540204653
906,9,midLeft,lowB,3.060861217720528,0,0,0,0,0,0.004989179961640913,0.39385580971477085,0.05447582177967817,0.008733994642886583
907,9,midRight,lowC,6.515176953320838,1,0,1,0,0,0.0030718761803918537,0.6267923958774777,0.03354117923564076,0.005377587160501863
908,9,midRight,lowC,8.230196639115423,1,0,1,0,0,0.0018913776091883563,0.7702132297773383,0.020651560045617454,0.0033110214571000643
909,9,midLeft,lowB,3.168657840382565,1,1,0,0,0,0.3854569035113237,0.4742261639320622,0.01271532313522714,0.002038621181242542
910,9,downRight,lowA,3.2463025141671644,1,0,0,0,1,0.23732875734444356,0.291984668482951,0.007828921499204278,0.3855475625024178
911,9,downLeft,high,3.21825328169208,1,0,0,100,0,0.14612512721802398,0.17977718884635915,0.9999,0.23738457677718028
912,9,midRight,lowC,4.6682808520219305,1,0,1,0,0,0.08997035607233211,0.4949825551355286,0.6156460613546586,0.14615949566878048
913,9,midLeft,lowB,4.140884359989982,0,0,0,0,0,0.055395434898097264,0.30476453696214956,0.37905797865936997,0.08999151698976696
914,9,downRight,lowA,3.7458764319342963,1,0,0,0,1,0.034107392051247104,0.18764585140646428,0.23338889047574693,0.4397008317185941
915,9,downRight,lowA,6.835851466354937,1,0,0,0,1,0.021000181597589228,0.11553498284621588,0.14369932111743913,0.6550195258198434
916,9,downLeft,high,4.307876188414579,0,0,0,0,0,0.012929972085496939,0.07113577071502236,0.08847676874216394,0.403300521233506
917,9,midRight,lowC,3.89638521643969,1,0,1,0,0,0.007961082496111483,0.42809120482795576,0.05447582177967817,0.2483152089605849
918,9,midLeft,lowB,3.2081480334921357,1,1,0,0,0,0.38919406713490545,0.26357902205510686,0.03354117923564076,0.15288956932797593
919,9,downLeft,high,3.395829555886382,1,0,0,100,0,0.2396297575099561,0.16228761554549379,0.9999,0.09413527470644904
920,9,midRight,lowC,4.4956984175888115,1,0,1,0,0,0.14754187058143453,0.4842140913717009,0.6156460613546586,0.057959807088272995
921,9,downRight,lowA,3.7398428513286133,1,0,0,0,1,0.09084265577393633,0.2981343116365761,0.37905797865936997,0.4199786634624587
922,9,downLeft,high,6.275312705841842,0,0,0,0,0,0.05593251648186912,0.18356357107084753,0.23338889047574693,0.2585840684204984
923,9,midLeft,lowB,3.5863368201897434,1,1,0,0,0,0.41873044516357505,0.11302149168713195,0.14369932111743913,0.15921218447059046
924,9,downRight,lowA,4.6437197172248785,1,0,0,0,1,0.25781553088732656,0.06958819502511358,0.08847676874216394,0.4823205249868304
925,9,downRight,lowA,7.182605617762851,1,0,0,0,1,0.15873899004584752,0.042845982782269254,0.05447582177967817,0.6812607962436191
926,9,midLeft,lowB,4.629206894004411,1,1,0,0,0,0.4820291755680406,0.026380598604634046,0.03354117923564076,0.4194574717098937
