Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
886,8,midRight,lowC,3.8310928258568353,1,0,1,0,0,0.0001,0.801280081922048,0.0003199679999999,0.0320106497310752,4.066994476040352
887,8,midLeft,lowB,3.953886114481119,1,1,0,0,0,0.8000200000000001,0.1602560163844095,0.0001,0.006402129946215,4.198636054664774
888,8,downRight,lowA,4.044485847108195,0,0,0,0,0,0.1600039999999999,0.0320512032768819,0.0001,0.001280425989243,3.9527601950098155
889,8,midRight,lowC,4.018122619792819,1,0,1,0,0,0.0320007999999999,0.8064102406553765,0.0001,0.0002560851978486,4.045767606273491
890,8,downLeft,high,4.110704113799945,1,0,0,100,0,0.0064001599999999,0.1612820481310752,0.9999,0.0001,4.021236332729446
891,8,downLeft,high,6.7105520328691375,0,0,0,0,0,0.0012800319999999,0.032256409626215,0.1999799999999999,0.0001,6.667445835355149
892,8,midRight,lowC,4.167262806966906,1,0,1,0,0,0.0002560063999999,0.8064512819252431,0.0399959999999999,0.0001,4.225471856370694
893,8,midLeft,lowB,4.01893303505023,1,1,0,0,0,0.8000512012800001,0.1612902563850485,0.0079991999999999,0.0001,3.8341216513614156
894,8,midRight,lowC,4.37690369827518,1,0,1,0,0,0.1600102402559999,0.8322580512770098,0.0015998399999999,0.0001,4.491681025133987
895,8,midLeft,lowB,4.316916321088353,0,0,0,0,0,0.0320020480511999,0.1664516102554019,0.0003199679999999,0.0001,4.424176464363731
896,8,midRight,lowC,4.501996839732957,1,0,1,0,0,0.0064004096102399,0.8332903220510804,0.0001,0.0001,4.459730852716055
897,8,midRight,lowC,6.058948163270971,1,0,1,0,0,0.0012800819220479,0.966658064410216,0.0001,0.0001,6.008914421447499
898,8,downRight,lowA,4.045430263099043,1,0,0,0,1,0.0002560163844095,0.1933316128820431,0.0001,0.8000200000000001,4.0527321013730235
899,8,downRight,lowA,5.88663638025189,1,0,0,0,1,0.0001,0.0386663225764086,0.0001,0.960004,6.060925707177498
900,9,midLeft,lowC,4.151590363466169,1,1,0,0,0,0.8000200000000001,0.0077332645152817,0.0001,0.1920007999999999,4.017848228546894
901,9,midLeft,lowC,6.040698196044213,1,1,0,0,0,0.960004,0.0015466529030563,0.0001,0.0384001599999999,6.059065784741196
902,9,downLeft,lowA,3.771792753707444,1,0,0,1,0,0.1920007999999999,0.0003093305806112,0.8000200000000001,0.0076800319999999,4.024011226921778
903,9,downRight,lowB,4.1172140841643285,0,0,0,0,0,0.0384001599999999,0.0001,0.1600039999999999,0.0015360063999999,3.963029020117149
904,9,midRight,high,3.811377899043796,1,0,100,0,0,0.0076800319999999,0.9999,0.0320007999999999,0.0003072012799999,3.904989462518942
905,9,downRight,lowB,4.013171787500523,1,0,0,0,1,0.0015360063999999,0.1999799999999999,0.0064001599999999,0.800061440256,3.923367989896192
906,9,midRight,high,4.40686186545339,0,0,0,0,0,0.0003072012799999,0.0399959999999999,0.0012800319999999,0.1600122880511999,4.539871196558906
907,9,downRight,lowB,4.453664136000083,1,0,0,0,1,0.0001,0.0079991999999999,0.0002560063999999,0.83200245761024,4.472580856092545
908,9,downLeft,lowA,3.95605060155957,0,0,0,0,0,0.0001,0.0015998399999999,0.0001,0.1664004915220479,3.9286690723545536
909,9,midRight,high,4.189689289783464,0,0,0,0,0,0.0001,0.0003199679999999,0.0001,0.0332800983044095,4.114260558049326
910,9,downRight,lowB,4.1366980866204015,1,0,0,0,1,0.0001,0.0001,0.0001,0.806656019660882,4.147303896193156
911,9,midRight,high,3.991923573585951,1,0,100,0,0,0.0001,0.9999,0.0001,0.1613312039321763,4.039899746467275
912,9,midLeft,lowC,4.142933833483922,1,1,0,0,0,0.8000200000000001,0.1999799999999999,0.0001,0.0322662407864352,3.9069089107402695
913,9,downRight,lowB,3.9409932370594434,1,0,0,0,1,0.1600039999999999,0.0399959999999999,0.0001,0.8064532481572871,3.969776142270541
914,9,downLeft,lowA,4.122668848702204,1,0,0,1,0,0.0320007999999999,0.0079991999999999,0.8000200000000001,0.1612906496314573,3.8378637460518488
915,9,downLeft,lowA,5.989434680128591,1,0,0,1,0,0.0064001599999999,0.0015998399999999,0.960004,0.0322581299262914,5.983603971801355
916,9,midLeft,lowC,4.11108042931938,1,1,0,0,0,0.8012800320000001,0.0003199679999999,0.1920007999999999,0.0064516259852582,4.052081380593757
917,9,downRight,lowB,4.086188356040194,0,0,0,0,0,0.1602560063999999,0.0001,0.0384001599999999,0.0012903251970516,4.1690876342434375
918,9,midLeft,lowC,4.409008647160845,1,1,0,0,0,0.83205120128,0.0001,0.0076800319999999,0.0002580650394103,4.52289395198634
919,9,downLeft,lowA,3.9892764128179823,0,0,0,0,0,0.1664102402559999,0.0001,0.0015360063999999,0.0001,4.117873417347148
920,9,downLeft,lowA,4.007888822951812,1,0,0,1,0,0.0332820480511999,0.0001,0.80030720128,0.0001,4.04090879178314
921,9,midRight,high,3.7634425607293553,1,0,100,0,0,0.0066564096102399,0.9999,0.160061440256,0.0001,3.855908807140647
922,9,midRight,high,6.43860164367238,1,0,100,0,0,0.0013312819220479,0.9999,0.0320122880511999,0.0001,6.478929305570501
923,9,midLeft,lowC,4.056106594010636,1,1,0,0,0,0.8002662563844096,0.1999799999999999,0.0064024576102399,0.0001,4.213565208614634
924,9,midLeft,lowC,6.050852025492443,0,0,0,0,0,0.1600532512768818,0.0399959999999999,0.0012804915220479,0.0001,6.038779938438964
925,9,downRight,lowB,3.904894065700564,1,0,0,0,1,0.0320106502553763,0.0079991999999999,0.0002560983044095,0.8000200000000001,3.8842866912709297
926,9,downRight,lowB,6.138402894719497,1,0,0,0,1,0.0064021300510752,0.0015998399999999,0.0001,0.960004,6.105868902949301
927,9,downLeft,lowA,3.890124149397258,1,0,0,1,0,0.001280426010215,0.0003199679999999,0.8000200000000001,0.1920007999999999,3.9868581034044697
