Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight
535,5,midLeft,lowB,0.2878753964080796,1,1,0,0,0,0.7863843429711463,9.348711864099862e-05,2.0767861693989518e-05,0.21350140204851875
537,5,midLeft,lowB,3.4401836712514027,1,1,0,0,0,0.9525457515868898,2.0767957803844957e-05,4.613534801442838e-06,0.04742886692050491
538,5,midRight,lowA,0.21937026449917543,1,0,1,0,0,0.2116059438215776,0.7778568128137168,1.0248866097892138e-06,0.010536218478095799
539,5,downLeft,lowC,0.22744461057447235,1,0,0,1,0,0.047007795043990774,0.17279918025908725,0.7778524269338711,0.002340597763050789
540,5,downRight,high,0.2977051138987476,1,0,0,0,1,0.010442678286773699,0.03838695786465185,0.1727982059455253,0.7783721579030491
541,5,midRight,lowA,0.45881456054253617,1,0,1,0,0,0.0023198180152675593,0.7863797775243897,0.03838674142303683,0.17291366303730593
543,5,downRight,high,0.9163482042271734,1,0,0,0,1,0.0005153424702143694,0.17469253812536867,0.00852753018479617,0.8162645892196208
544,5,downLeft,lowC,0.2865549387421844,1,0,0,1,0,0.0001144821963872961,0.03880756315066467,0.779746571333882,0.1813313833190661
545,5,downRight,high,1.1285132914784581,1,0,0,0,1,2.543196815160139e-05,0.008621014806093327,0.17321898595827634,0.8181345672674788
546,5,downRight,high,3.6447942741631185,1,0,0,0,1,5.649655793429905e-06,0.0019151394793416043,0.03848021677746585,0.9595989940873991
547,5,downRight,high,4.283423582952736,1,0,0,0,1,1.2550586094622116e-06,0.0004254440234507499,0.008548295529206197,0.9910250053887336
549,5,downRight,high,4.298808240078969,1,0,0,0,1,2.788085098948893e-07,9.451145414859712e-05,0.0018989850519095484,0.998006224685432
550,5,downLeft,lowC,0.297630615286155,1,0,0,1,0,6.193669730142514e-08,2.099551168408036e-05,0.7782740546104893,0.2217048879411294
551,5,midRight,lowA,0.3324727772957863,1,0,1,0,0,1.375910109076152e-08,0.7778568633643108,0.17289186960661818,0.04925125326996996
553,5,downRight,high,0.5157237170020805,1,0,0,0,1,3.0565540475055126e-09,0.17279919148879064,0.038407548599358105,0.7887932568552972
555,5,downRight,high,3.3174870555583276,1,0,0,0,1,6.790067595037385e-10,0.03838696035930578,0.008532152453255601,0.9530808865084319
556,5,midLeft,lowB,0.38184234158619934,1,1,0,0,0,0.7778521994084047,0.008527578821006819,0.0018953989030899053,0.2117248228674986
557,5,midLeft,lowB,3.481022425555061,1,1,0,0,0,0.9506503546588081,0.001894382880744434,0.0004210586978510467,0.04703420376259648
559,5,downRight,high,0.3624849842600093,1,0,0,0,1,0.21118488556247028,0.00042083299072149497,9.353726371108355e-05,0.7883007441830971
560,5,downRight,high,3.595874940435636,1,0,0,0,1,0.04691425787774564,9.348712336864175e-05,2.077909742088241e-05,0.9529714759014648
562,5,downRight,high,4.229561552389488,1,0,0,0,1,0.010421899211004663,2.0767958854080485e-05,4.616030793461837e-06,0.9895527167993478
563,5,downLeft,lowC,0.3056926250515543,1,0,0,1,0,0.0023152019892840065,4.613556385343364e-06,0.7778532246986537,0.2198269597556769
564,5,downRight,high,1.1945930498341533,1,0,0,0,1,0.0005143170301939532,1.0248914046052475e-06,0.1727983831672172,0.8266862749111843
566,5,downRight,high,3.698424566039861,1,0,0,0,1,0.00011425439714196736,2.2767737153288106e-07,0.03838678079244595,0.9614987371330406
568,5,downRight,high,4.303582528742158,1,0,0,0,1,2.5381363050240824e-05,5.057802736484786e-08,0.008527538930623822,0.9914470291282986
569,5,midLeft,lowB,0.14375755504446097,1,1,0,0,0,0.7778578376715463,1.123579754499166e-08,0.00189437401918358,0.22024777707347265
570,5,downRight,high,1.0468286912637244,1,0,0,0,1,0.17279940792900017,2.49600771420715e-09,0.00042083102214524005,0.8267797585528469
571,5,midRight,lowA,0.2713954888200901,1,0,1,0,0,0.0383870084410223,0.7778521998120475,9.348668605375611e-05,0.18366730506087658
573,5,downRight,high,1.0240905035724932,1,0,0,0,1,0.008527589502254403,0.1727981554909116,2.0767861705540418e-05,0.8186534871451284
574,5,downRight,high,3.559228324583267,1,0,0,0,1,0.0018943852535600934,0.038386730214655364,4.6135348040088434e-06,0.9597142709969806
576,5,downRight,high,4.223528584088147,1,0,0,0,1,0.00042083351783727524,0.008527527694878877,1.0248866103592466e-06,0.9910506139006735
577,5,downRight,high,4.293304636381882,1,0,0,0,1,9.348724046625309e-05,0.0018943715231875503,2.2767630650167578e-07,0.9980119135600397
579,5,downLeft,lowC,0.24972622848471265,1,0,0,1,0,2.0767984867057322e-05,0.0004208304676652116,0.7778522498353556,0.2217061517121122
580,5,midLeft,lowB,0.3067726687554632,1,1,0,0,0,0.7778568128197288,9.348656287723727e-05,0.17279816660347957,0.04925153401391441
581,5,midRight,lowA,0.2094742808720969,1,0,1,0,0,0.17279918026042285,0.7778729670919069,0.038386732683287905,0.01094111996438233
582,5,downRight,high,0.2277705577720594,1,0,0,0,1,0.03838695786494856,0.17280276889645985,0.008527528243280166,0.7802827449953115
583,5,downRight,high,3.407450470791993,1,0,0,0,1,0.008527578266890847,0.03838775507255185,0.0018943716450136915,0.9511902950155436
585,5,downLeft,lowC,0.14038988439528272,1,0,0,1,0,0.0018943827576487892,0.008527755364806655,0.7782730297522934,0.2113048321252512
587,5,downLeft,lowC,3.4285915956019615,1,0,0,1,0,0.00042083296337606826,0.0018944220995613017,0.9507438411941886,0.04694090374287402
588,5,midLeft,lowB,0.24862866950410978,1,1,0,0,0,0.7779456863748587,0.00042084170309540994,0.21120565339070407,0.01042781853134181
589,5,midRight,lowA,0.013750234908702585,1,0,1,0,0,0.17281892332523907,0.7779456883163681,0.04691887140511397,0.002316516953278794
591,5,downLeft,lowC,0.5092096343207747,1,0,0,1,0,0.03839134374337741,0.17281892375654118,0.788275123353528,0.0005146091465534507
592,5,downRight,high,0.1279840589178312,1,0,0,0,1,0.00852855258013814,0.03839134383919021,0.17511358503295804,0.7779665185477136
594,5,midRight,lowA,0.36314690600008426,1,0,1,0,0,0.0018945991991939101,0.7863807518589876,0.03890109779519505,0.17282355114662354
595,5,downRight,high,0.913424256118359,1,0,0,0,1,0.00042088104538930615,0.17469275457165678,0.008641793321668978,0.816244571061285
597,5,downRight,high,3.5992478346261283,1,0,0,0,1,9.349779860741143e-05,0.038807611233731554,0.0019197553808794274,0.9591791355867816
598,5,midRight,lowA,0.3888681575219028,1,0,1,0,0,2.077033033489558e-05,0.7864732247452056,0.0004264694358258208,0.21307953548863368
599,5,downLeft,lowC,0.38962279484243234,1,0,0,1,0,4.614083204590943e-06,0.17471329721995843,0.7779469385048173,0.04733515019201964
600,6,downRight,lowB,0.2937179205004272,1,0,0,0,1,1.025008436342486e-06,0.038812174737873184,0.17281920148315566,0.7883675987705347
601,6,midLeft,high,0.23079349020929382,1,1,0,0,0,0.7778524269609346,0.00862203926004963,0.03839140553554682,0.17513412824346886
602,6,downLeft,lowA,0.49535557487080606,1,0,0,1,0,0.1727982059515374,0.0019153670595349588,0.7863807655646975,0.038905661424230215
